Наименование объекта центра питания, класс напряжения;Год ввода/Год реконструкции (при изменении установленной мощности) ;Установленная мощность трансформаторов;Широта;Долгота
ПС 35/10 Куток;1976;5;52.0572519996294;35.167804384058
ПС 35/10 Линец;1987;5;52.0838039462905;35.5212289935973
ПС 35/10 Луч;1999;12.6;51.4525368768529;37.1293350420805
ПС 35/10 Любимовка-2;1981;8;51.4883016220901;35.654408431889
ПС 35/10 Матвеевка;1973;5;51.9858255240301;35.2428777363129
ПС 35/10 Маяк;1992;5;52.3150830934478;36.3319555780379
ПС 35/10 Михайловка;1982;10.3;52.2391562748443;35.3593770843984
ПС 35/10 Мурыновка;1977;8;51.7450695966751;36.2405944315409
ПС 35/10 Н. Борки;1976;5;51.4293350621297;38.1110944314553
ПС 35/10 Никольская;1962;3.4;51.8243091859819;35.7044050813934
ПС 35/10 Новая;1973;5;51.7466652283911;36.0272715709957
ПС 35/10 Орехово;1974;5;51.7550415069979;38.3623186220855
ПС 35/10 Орловка;1977;8;51.5943033470913;38.0942946122013
ПС 35/10 Осоцкое;1981;5;52.127498901267;34.8051686974053
ПС 35/10 Охочевка;1980;10.3;51.8869169619942;36.7604709769237
ПС 35/10 Панино;1983;5;51.5348264544871;36.1270408499765
ПС 35/10 Первоавгустовка;1962;5.7;52.2226860454239;35.0379634235412
ПС 35/10 Петринка;1978;6.5;51.5942064225107;36.2514453320415
ПС 35/10 Платава;1979;5;51.790247232774;35.0619813939351
ПС 35/10 Погожее;1984;3.2;51.6012175165625;37.2685063907538
ПС 35/10 Поречное;1977;8;51.2738086977674;35.3270968752833
ПС 35/10 Почепное;1974;12.6;52.0018485505566;34.825228577236
ПС 35/10 Пригородная;1985;5;51.8361853533396;36.0618478424779
ПС 35/10 Пристень;1980;12.6;51.2372871403137;36.6966430029451
ПС 35/10 Пселец;1987;3.2;51.3075096263482;36.5287182821759
ПС 35/10 Пузачи;1983;5.6;51.4841067060222;37.2139750564238
ПС 35/10 Пушкарное;1980;5;51.476838718693;34.8326759422675
ПС 35/10 Р.Колодец;1974;5;51.712318726365;37.5259489882205
ПС 35/10 Разветье;1971;8;52.3007660082395;35.3345675930256
ПС 35/10 В. Реутец;1980;8;51.3311389389495;36.0006956898371
ПС 35/10 Рождественка;1977;3.2;51.6610394851266;36.8847173838184
ПС 35/10 Рубильник;1968;5;51.3944846100897;34.8850797698345
ПС 35/10 Рыжково;1987;3.2;51.9759264070772;35.5050645863545
ПС 35/10 Сапогово;1980;5;51.8228929643877;36.1934097144057
ПС 35/10 Свобода-сельская;1992;12.6;51.9711914432993;36.3088522459085
ПС 35/10 Селекционная;1976;8;51.6333589197319;35.1691287050824
ПС 35/10 Семеновка;1983;5;51.8753858198628;38.3006835912822
ПС 35/10 Семзавод;1982;5;51.2847919080186;36.693866109185
ПС 35/10 Снагость;1978;8;51.2965067304282;34.9239395718725
ПС 35/10 СОМ;1983;8;51.3296294499837;37.0657586732739
ПС 35/10 Сосновый Бор;1989;7.2;51.7085580266515;35.7005229280764
ПС 35/10 Стаканово;1966;5;52.0168694852978;37.0254545901626
ПС 35/10 Старково;1988;3.2;51.7241990993485;35.8578446524474
ПС 35/10 Старшее;1986;3.8;51.9895120237207;34.6439028674135
ПС 35/10 Теплицы;1987;8;51.6483430130847;35.6260766502285
ПС 35/10 Туровка;1972;5;51.4276088966338;37.12597413245
ПС 35/10 Успенка;1972;5;51.6460460001511;35.7375092033352
ПС 35/10 Фентисово;1983;1.6;52.1217522668781;36.4054364477418
ПС 35/10 Чермошное;1976;5;51.3891202766487;36.5538258999014
ПС 35/10 Шаталовка;1974;6.5;51.8716420509051;36.831085065949
ПС 35/10 Шипы;1988;5;51.1252202608686;36.4158928323648
ПС 35/10 Элеватор;1966;10.3;52.11303;35.06881
ПС 35/10 Юго-Западная;1974;20;51.7098810154511;36.1278028851279
ПС 35/10 ЖБИ;1976;5;51.6595976048031;35.9189399148857
