Тип (official_short_type);Номер (ref);Напряжение (voltage);Название (name);Трансформаторная мощность, МВА (rating);Год ввода (start_date);Оператор (operator);Филиал (branch)
ПС;;110/10;Медяны;5;1992;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Сергачские ЭС
ПС;;110/10;Мешиха;50;1980;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Кстовские ЭС
ПС;;110/10;Минино;5;1990;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Уренские ЭС
ПС;;110/10;Новосёлки;26;1982;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Арзамасские ЭС
ПС;;110/10;Новосельская;5;1995;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Южные ЭС
ПС;;110/10;Окский берег;50;2017;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Центральные ЭС
ПС;;110/10;Подлесово;5;1975;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Кстовские ЭС
ПС;;110/10;Покров Майдан;5;1988;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Кстовские ЭС
ПС;;110/10;Полюс;12.6;1981;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Сергачские ЭС
ПС;;110/10;Просек;5.6;1969;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Кстовские ЭС
ПС;;110/10;Пыра;20;;ОАО «Дзержинский водоканал»;
ПС;;110/10;Роженцово;6.3;1986;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Уренские ЭС
ПС;;110/10;Старт;80;;ООО «Волгоэлектросеть»;
ПС;;110/10;Стрелка;80;2014;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Центральные ЭС
ПС;;110/10;Строительная;6.3;1986;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Сергачские ЭС
ПС;;110/10;Сява;12.6;1966;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Уренские ЭС
ПС;;110/10;Теплоход;32;;ООО «Зефс-Энерго»;
ПС;;110/10;Хмелевицы;5.6;1974;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Уренские ЭС
ПС;;110/10;Чайка;160;;ООО «Заводские сети»;
ПС;;110/10;Чернораменская;32;1980;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Балахнинские ЭС
ПС;;110/10;Шалдеж;8.8;1986;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Семёновские ЭС
ПС;;110/10;Шаранга;26;1981;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Уренские ЭС
ПС;;110/10;Шеманиха;2.5;1969;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Семёновские ЭС
ПС;;110/6;Автотрек;12.6;;ООО «Зефс-Энерго»;
ПС;;110/6;Алёшинская;16.3;1966;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Балахнинские ЭС
ПС;;110/6;Арматурная;20;;ОАО «Семёновский арматурный завод»;
ПС;;110/6;Артёмовская;20;1975;ПАО «МРСК Центра и Приволжья»;Нижновэнерго/Центральные ЭС
ПС;;110/6;Балахониха;20;;АО «Транснефть - Верхняя Волга»;Горьковское районное нефтепроводное управление
