№ п/п;Наименование центра питания;Класс напряжения, кВ;Установленная мощность, МВА
309;Шахта Капитальная;110000/35000/6000;6,3
310;Красная Гора;110000/10000;12,6
311;Красный Октябрь;110000/6000;6,3
312;Кытлым;35000/6000;1,6
313;Маслово;35000/6000;1,8
314;Морозково;110000/10000;5
315;Никитинская;110000/10000;32
316;Олта;110000/6000;12,6
317;Оус;110000/10000;5
318;Пасынок;110000/10000;2,5
319;Пелым;110000/10000;2,5
320;Першино;110000/6000;32
321;Полуночное;110000/35000/6000;6,3
322;Предтурье;110000/10000/6000;20
323;Птицефабрика;110000/35000/10000;16,3
324;Романово;110000/10000;5
325;Североуральск;110000/35000/6000;63
326;Серов;110000/35000/10000;56,5
327;Снежная;110000/10000;20
328;Сотрино;110000/10000;6,3
329;Ступино;110000/10000;50
330;Тайга;110000/10000;12,6
331;Талая;110000/10000;20
332;Теплосеть;110000/10000;32
333;Турья;110000/10000;20
334;Ферросплав;110000/10000;446
335;Фура;110000/10000;20
336;Химзавод;35000/6000;1,8
337;ХПФ;35000/6000;26
338;Черемухово;110000/35000/6000;50
339;Черная;110000/35000/6000;16
340;Энерголесокомбинат;110000/6000;16,3
341;Юлия;35000/6000;3,15
342;Андроново;110000/10000;6,3
343;Баженово;110000/10000;8,8
344;Байкалово;110000/35000/10000;20
345;Балаир;110000/10000;12,6
346;Боровлянка;110000/10000;6,3
347;Бутка;110000/10000;12,6
348;БХЗ;110000/10000;20
349;Верховино;110000/10000;12,6
350;Двинка;110000/10000;5
351;Ертарка;110000/10000;2,5
352;Зарубино;110000/10000;5
353;Истоур;110000/10000;12,6
