№ п/п;Наименование ПС;Классы напряжения, кВ;Адрес местонахождения ПС
258;УАМР;35/6;Приморский край, Находка г, Макарова ул
259;Угловая;35/6;690910, Приморский край, Владивосток г, Трудовое п, Энгельса ул
260;УМЗ;35/6;692500, Приморский край, Уссурийск г, Теремецкого ул, дом № 22
261;Фабричная 1;35/6;Приморский край, Дальнегорский р-н, Дальнегорск, Ватутина
262;Фабричная-2;35/6;692425, Приморский край, Кавалеровский р-н, Фабричный п, Верхняя ул, дом № 1, корпус 1
263;Хрустальная;35/6;692426, Приморский край, Кавалеровский р-н, Хрустальный пгт, Центральная ул, дом № 7, корпус б
264;Ц;35/6;Приморский край, Владивосток г, Пушкинская ул
265;Центральная;35/6;692411, Приморский край, Кавалеровский р-н, Рудный пгт, Партизанская ул, дом № 140, корпус а
266;Шахтовая;35/6;692760, Приморский край, Артем г, Пестеля ул
267;Шкотово;35/6;692815, Приморский край, Шкотовский р-н, Шкотово пгт
268;Шкотовский водозабор;35/6;692815, Приморский край, Шкотовский р-н, Шкотово пгт
269;Шмидтовка;35/6;692768, Приморский край, Надеждинский р-н, Шмидтовка п
270;Эгершельд;35/6;690065, Приморский край, Владивосток г, Морозова ул
